segment,segment_name,accuracy,precision,recall,f1_score,roc_auc,best_params,confusion_matrix,top_features
0,Higher-Value Premium Base,1.0,1.0,1.0,1.0,1.0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}","[[13, 0], [0, 2]]","[""num__Tenure"", ""num__TotalCharges"", ""num__MonthlyCharges"", ""cat__Contract_Two Year"", ""num__SeniorCitizen""]"
1,Established Customer Base 1,0.9444444444444444,0.0,0.0,0.0,1.0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}","[[17, 0], [1, 0]]","[""num__Tenure"", ""num__TotalCharges"", ""num__MonthlyCharges"", ""num__SeniorCitizen"", ""cat__Contract_One Year""]"
2,Highest Churn Priority,1.0,1.0,1.0,1.0,1.0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}","[[16, 0], [0, 4]]","[""num__Tenure"", ""num__MonthlyCharges"", ""num__TotalCharges"", ""num__SeniorCitizen"", ""cat__PaymentMethod_Electronic Check""]"
3,Lower-Charge Opportunity,0.9411764705882353,1.0,0.6666666666666666,0.8,1.0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}","[[14, 0], [1, 2]]","[""num__Tenure"", ""num__MonthlyCharges"", ""num__TotalCharges"", ""cat__Contract_Month-To-Month"", ""cat__Contract_One Year""]"
4,Lowest Churn Stability,0.9444444444444444,0.0,0.0,0.0,,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 100}","[[17, 1], [0, 0]]","[""num__Tenure"", ""num__TotalCharges"", ""num__MonthlyCharges"", ""num__SeniorCitizen"", ""cat__PaymentMethod_Credit Card""]"
5,Established Customer Base 2,0.9333333333333333,0.0,0.0,0.0,0.7857142857142857,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}","[[14, 0], [1, 0]]","[""num__Tenure"", ""num__MonthlyCharges"", ""num__TotalCharges"", ""cat__PaymentMethod_Bank Transfer"", ""num__SeniorCitizen""]"
